id_email;date_test;vrai_label;prediction;score_confiance;categorie_phishing;longueur_texte;nb_liens
MAIL-5372;2025-09-02;phishing;phishing;0.902;Usurpation fournisseur;574;1
MAIL-5373;2025-09-12;phishing;phishing;0.926;Fausse facture;620;3
MAIL-5374;2025-09-10;légitime;légitime;0.793;N/A;912;0
MAIL-5375;2025-09-06;légitime;légitime;0.863;N/A;140;1
MAIL-5376;2025-09-14;phishing;phishing;0.932;Usurpation bancaire;1153;2
MAIL-5377;2025-09-25;légitime;légitime;0.948;N/A;650;2
MAIL-5378;2025-09-20;phishing;phishing;0.946;Fausse livraison colis;328;6
MAIL-5379;2025-09-07;légitime;légitime;0.907;N/A;492;1
MAIL-5380;2025-09-06;phishing;phishing;0.957;Faux support technique;1128;5
MAIL-5381;2025-09-02;phishing;phishing;0.879;Usurpation bancaire;1027;4
MAIL-5382;2025-09-04;légitime;légitime;0.812;N/A;988;2
MAIL-5383;2025-09-26;phishing;phishing;0.961;Phishing RH/paie;290;1
MAIL-5384;2025-09-04;phishing;légitime;0.577;Usurpation fournisseur;626;0
MAIL-5385;2025-09-15;légitime;légitime;0.976;N/A;515;0
MAIL-5386;2025-09-27;légitime;légitime;0.946;N/A;620;2
MAIL-5387;2025-09-28;phishing;phishing;0.937;Fausse facture;1041;0
MAIL-5388;2025-09-29;phishing;phishing;0.843;Faux support technique;922;6
MAIL-5389;2025-09-15;légitime;légitime;0.851;N/A;1014;0
MAIL-5390;2025-09-13;phishing;phishing;0.943;Fausse facture;1015;5
MAIL-5391;2025-09-04;phishing;phishing;0.972;Fausse facture;1041;2
MAIL-5392;2025-09-05;légitime;légitime;0.897;N/A;1139;0
MAIL-5393;2025-09-30;légitime;légitime;0.932;N/A;1141;0
MAIL-5394;2025-09-29;phishing;phishing;0.927;Phishing RH/paie;893;3
MAIL-5395;2025-09-11;légitime;légitime;0.887;N/A;92;2
MAIL-5396;2025-09-18;légitime;phishing;0.586;N/A;208;1
MAIL-5397;2025-09-14;phishing;phishing;0.834;Phishing RH/paie;201;5
MAIL-5398;2025-09-10;légitime;légitime;0.976;N/A;582;0
MAIL-5399;2025-09-23;légitime;légitime;0.849;N/A;979;1
MAIL-5400;2025-09-22;légitime;légitime;0.827;N/A;146;0
MAIL-5401;2025-09-29;phishing;phishing;0.842;Fausse livraison colis;451;1
MAIL-5402;2025-09-20;phishing;phishing;0.981;Fausse facture;928;5
MAIL-5403;2025-09-28;phishing;phishing;0.811;Usurpation fournisseur;105;0
MAIL-5404;2025-09-01;légitime;légitime;0.913;N/A;157;2
MAIL-5405;2025-09-17;légitime;légitime;0.951;N/A;318;1
MAIL-5406;2025-09-03;légitime;légitime;0.797;N/A;777;2
MAIL-5407;2025-09-19;phishing;phishing;0.974;Usurpation bancaire;580;3
MAIL-5408;2025-09-16;légitime;légitime;0.795;N/A;1041;2
MAIL-5409;2025-09-20;légitime;légitime;0.942;N/A;475;2
MAIL-5410;2025-09-28;phishing;phishing;0.922;Faux support technique;533;6
MAIL-5411;2025-09-16;légitime;légitime;0.886;N/A;603;1
MAIL-5412;2025-09-08;phishing;phishing;0.966;Usurpation bancaire;1012;4
MAIL-5413;2025-09-27;phishing;phishing;0.892;Fausse facture;1128;1
MAIL-5414;2025-09-19;légitime;légitime;0.843;N/A;171;0
MAIL-5415;2025-09-12;légitime;légitime;0.931;N/A;153;1
MAIL-5416;2025-09-09;légitime;légitime;0.932;N/A;166;2
MAIL-5417;2025-09-20;légitime;légitime;0.907;N/A;462;0
MAIL-5418;2025-09-04;légitime;légitime;0.838;N/A;647;2
MAIL-5419;2025-09-08;légitime;phishing;0.685;N/A;306;1
MAIL-5420;2025-09-12;légitime;légitime;0.983;N/A;381;0
MAIL-5421;2025-09-28;phishing;phishing;0.889;Fausse livraison colis;986;6
MAIL-5422;2025-09-05;phishing;phishing;0.92;Phishing RH/paie;330;4
MAIL-5423;2025-09-28;légitime;légitime;0.902;N/A;696;1
MAIL-5424;2025-09-22;légitime;légitime;0.944;N/A;1029;0
MAIL-5425;2025-09-21;légitime;légitime;0.84;N/A;527;0
MAIL-5426;2025-09-02;légitime;légitime;0.859;N/A;766;1
MAIL-5427;2025-09-04;phishing;phishing;0.839;Fausse facture;506;4
MAIL-5428;2025-09-24;légitime;légitime;0.854;N/A;966;1
MAIL-5429;2025-09-30;légitime;légitime;0.822;N/A;1111;1
MAIL-5430;2025-09-18;légitime;légitime;0.878;N/A;828;0
MAIL-5431;2025-09-02;légitime;légitime;0.819;N/A;187;1
MAIL-5432;2025-09-03;légitime;légitime;0.884;N/A;858;1
MAIL-5433;2025-09-23;légitime;légitime;0.817;N/A;352;0
MAIL-5434;2025-09-05;phishing;phishing;0.814;Usurpation bancaire;656;1
MAIL-5435;2025-09-18;légitime;légitime;0.829;N/A;761;1
MAIL-5436;2025-09-05;légitime;légitime;0.827;N/A;97;2
MAIL-5437;2025-09-28;phishing;phishing;0.892;Usurpation bancaire;375;1
MAIL-5438;2025-09-11;phishing;phishing;0.842;Fausse livraison colis;729;6
MAIL-5439;2025-09-30;légitime;légitime;0.876;N/A;596;0
MAIL-5440;2025-09-22;phishing;phishing;0.905;Fausse livraison colis;740;4
MAIL-5441;2025-09-12;légitime;légitime;0.954;N/A;363;2
MAIL-5442;2025-09-20;légitime;légitime;0.79;N/A;750;1
MAIL-5443;2025-09-09;légitime;légitime;0.852;N/A;814;0
MAIL-5444;2025-09-07;phishing;légitime;0.592;Fausse livraison colis;459;6
MAIL-5445;2025-09-09;phishing;phishing;0.932;Faux support technique;203;0
MAIL-5446;2025-09-21;phishing;phishing;0.971;Faux support technique;683;6
MAIL-5447;2025-09-21;phishing;phishing;0.9;Fausse facture;1061;0
MAIL-5448;2025-09-11;phishing;phishing;0.847;Usurpation bancaire;1109;6
MAIL-5449;2025-09-05;légitime;légitime;0.87;N/A;581;2
MAIL-5450;2025-09-22;légitime;légitime;0.963;N/A;136;2
MAIL-5451;2025-09-07;phishing;phishing;0.921;Phishing RH/paie;241;0
MAIL-5452;2025-09-15;phishing;phishing;0.803;Usurpation bancaire;1030;2
MAIL-5453;2025-09-12;légitime;phishing;0.677;N/A;719;0
MAIL-5454;2025-09-09;légitime;légitime;0.803;N/A;1174;1
MAIL-5455;2025-09-02;phishing;phishing;0.986;Phishing RH/paie;233;3
MAIL-5456;2025-09-28;phishing;phishing;0.931;Faux support technique;923;0
MAIL-5457;2025-09-27;phishing;phishing;0.983;Usurpation fournisseur;1039;3
MAIL-5458;2025-09-11;phishing;phishing;0.838;Faux support technique;377;0
MAIL-5459;2025-09-04;légitime;légitime;0.792;N/A;299;2
MAIL-5460;2025-09-06;phishing;phishing;0.975;Usurpation bancaire;1008;6
MAIL-5461;2025-09-08;légitime;légitime;0.817;N/A;926;1
MAIL-5462;2025-09-12;légitime;légitime;0.947;N/A;555;2
MAIL-5463;2025-09-23;légitime;légitime;0.961;N/A;337;0
MAIL-5464;2025-09-11;phishing;phishing;0.948;Fausse livraison colis;179;6
MAIL-5465;2025-09-11;phishing;phishing;0.928;Usurpation fournisseur;1066;6
MAIL-5466;2025-09-28;légitime;légitime;0.922;N/A;517;2
MAIL-5467;2025-09-13;légitime;légitime;0.846;N/A;581;1
MAIL-5468;2025-09-12;phishing;phishing;0.89;Usurpation fournisseur;944;4
MAIL-5469;2025-09-04;phishing;phishing;0.976;Phishing RH/paie;270;6
MAIL-5470;2025-09-03;phishing;phishing;0.886;Usurpation fournisseur;556;0
MAIL-5471;2025-09-14;phishing;phishing;0.989;Fausse facture;892;2
MAIL-5472;2025-09-29;phishing;phishing;0.865;Fausse livraison colis;721;2
MAIL-5473;2025-09-17;légitime;légitime;0.924;N/A;587;1
MAIL-5474;2025-09-17;légitime;légitime;0.927;N/A;528;2
MAIL-5475;2025-09-23;légitime;légitime;0.793;N/A;870;1
MAIL-5476;2025-09-19;légitime;légitime;0.846;N/A;1092;0
MAIL-5477;2025-09-06;phishing;phishing;0.806;Fausse livraison colis;418;6
MAIL-5478;2025-09-02;phishing;phishing;0.938;Usurpation fournisseur;1170;5
MAIL-5479;2025-09-11;légitime;phishing;0.62;N/A;676;0
MAIL-5480;2025-09-17;légitime;légitime;0.869;N/A;267;0
MAIL-5481;2025-09-15;légitime;légitime;0.878;N/A;840;1
MAIL-5482;2025-09-08;phishing;phishing;0.92;Phishing RH/paie;496;5
MAIL-5483;2025-09-30;phishing;phishing;0.943;Fausse facture;1174;2
MAIL-5484;2025-09-19;phishing;phishing;0.926;Faux support technique;340;1
MAIL-5485;2025-09-20;légitime;légitime;0.89;N/A;695;0
MAIL-5486;2025-09-09;légitime;légitime;0.856;N/A;550;0
MAIL-5487;2025-09-24;légitime;légitime;0.809;N/A;632;2
MAIL-5488;2025-09-14;légitime;légitime;0.806;N/A;571;1
MAIL-5489;2025-09-13;légitime;légitime;0.862;N/A;860;1
MAIL-5490;2025-09-21;légitime;légitime;0.982;N/A;390;1
MAIL-5491;2025-09-17;légitime;légitime;0.969;N/A;1060;0
MAIL-5492;2025-09-03;phishing;phishing;0.864;Fausse livraison colis;837;2
MAIL-5493;2025-09-02;légitime;légitime;0.948;N/A;1090;2
MAIL-5494;2025-09-09;légitime;légitime;0.874;N/A;960;1
MAIL-5495;2025-09-28;légitime;légitime;0.853;N/A;937;0
MAIL-5496;2025-09-14;légitime;légitime;0.882;N/A;617;0
MAIL-5497;2025-09-28;légitime;phishing;0.558;N/A;951;1
MAIL-5498;2025-09-02;légitime;légitime;0.789;N/A;1141;0
MAIL-5499;2025-09-05;légitime;légitime;0.936;N/A;87;0
MAIL-5500;2025-09-13;phishing;phishing;0.974;Usurpation fournisseur;605;3
MAIL-5501;2025-09-01;légitime;légitime;0.947;N/A;342;1
MAIL-5502;2025-09-08;phishing;phishing;0.805;Fausse livraison colis;228;0
MAIL-5503;2025-09-09;phishing;légitime;0.699;Usurpation fournisseur;743;6
MAIL-5504;2025-09-20;légitime;légitime;0.987;N/A;1006;1
MAIL-5505;2025-09-21;phishing;phishing;0.802;Fausse livraison colis;98;5
MAIL-5506;2025-09-14;légitime;légitime;0.9;N/A;351;2
MAIL-5507;2025-09-26;légitime;légitime;0.93;N/A;1043;2
MAIL-5508;2025-09-03;légitime;légitime;0.94;N/A;1172;1
MAIL-5509;2025-09-20;légitime;légitime;0.847;N/A;733;2
MAIL-5510;2025-09-15;phishing;phishing;0.939;Usurpation bancaire;773;2
MAIL-5511;2025-09-01;légitime;légitime;0.97;N/A;1025;1
MAIL-5512;2025-09-21;phishing;phishing;0.933;Usurpation fournisseur;513;1
MAIL-5513;2025-09-28;phishing;légitime;0.642;Faux support technique;180;3
MAIL-5514;2025-09-29;phishing;légitime;0.564;Fausse livraison colis;795;4
MAIL-5515;2025-09-16;phishing;phishing;0.934;Fausse facture;888;4
MAIL-5516;2025-09-14;légitime;phishing;0.671;N/A;888;1
MAIL-5517;2025-09-24;légitime;légitime;0.894;N/A;363;2
MAIL-5518;2025-09-23;phishing;phishing;0.954;Fausse livraison colis;226;2
MAIL-5519;2025-09-06;phishing;phishing;0.987;Faux support technique;812;5
MAIL-5520;2025-09-12;phishing;phishing;0.928;Faux support technique;996;2
MAIL-5521;2025-09-11;légitime;légitime;0.979;N/A;119;1
MAIL-5522;2025-09-11;phishing;légitime;0.648;Fausse livraison colis;974;0
MAIL-5523;2025-09-07;légitime;légitime;0.915;N/A;348;2
MAIL-5524;2025-09-04;légitime;phishing;0.786;N/A;1187;0
MAIL-5525;2025-09-06;légitime;légitime;0.864;N/A;621;0
MAIL-5526;2025-09-27;légitime;légitime;0.783;N/A;577;0
MAIL-5527;2025-09-20;légitime;légitime;0.818;N/A;691;0
MAIL-5528;2025-09-07;légitime;légitime;0.886;N/A;644;2
MAIL-5529;2025-09-17;légitime;légitime;0.873;N/A;1092;0
MAIL-5530;2025-09-11;légitime;légitime;0.85;N/A;916;0
MAIL-5531;2025-09-12;phishing;phishing;0.873;Fausse livraison colis;455;6
MAIL-5532;2025-09-11;phishing;légitime;0.705;Fausse facture;700;3
MAIL-5533;2025-09-24;phishing;phishing;0.89;Usurpation fournisseur;904;1
MAIL-5534;2025-09-03;légitime;légitime;0.84;N/A;1167;2
MAIL-5535;2025-09-23;phishing;phishing;0.846;Fausse livraison colis;263;0
MAIL-5536;2025-09-25;légitime;légitime;0.885;N/A;690;1
MAIL-5537;2025-09-17;phishing;phishing;0.953;Faux support technique;281;4
MAIL-5538;2025-09-08;phishing;phishing;0.877;Fausse livraison colis;800;4
MAIL-5539;2025-09-29;phishing;phishing;0.946;Faux support technique;930;0
MAIL-5540;2025-09-15;légitime;légitime;0.846;N/A;258;2
MAIL-5541;2025-09-06;légitime;légitime;0.807;N/A;894;0
MAIL-5542;2025-09-11;légitime;légitime;0.957;N/A;965;2
MAIL-5543;2025-09-12;légitime;légitime;0.925;N/A;1110;1
MAIL-5544;2025-09-08;phishing;phishing;0.858;Faux support technique;467;0
MAIL-5545;2025-09-16;légitime;légitime;0.971;N/A;577;0
MAIL-5546;2025-09-29;phishing;phishing;0.869;Fausse livraison colis;175;3
MAIL-5547;2025-09-29;légitime;légitime;0.934;N/A;114;2
MAIL-5548;2025-09-16;phishing;phishing;0.922;Fausse facture;697;5
MAIL-5549;2025-09-02;phishing;phishing;0.973;Fausse facture;494;1
MAIL-5550;2025-09-29;légitime;légitime;0.903;N/A;740;2
MAIL-5551;2025-09-09;légitime;légitime;0.793;N/A;518;2
MAIL-5552;2025-09-26;phishing;phishing;0.955;Usurpation fournisseur;98;3
MAIL-5553;2025-09-30;phishing;phishing;0.976;Faux support technique;681;3
MAIL-5554;2025-09-13;légitime;légitime;0.861;N/A;295;0
MAIL-5555;2025-09-09;phishing;phishing;0.906;Usurpation fournisseur;141;4
MAIL-5556;2025-09-24;légitime;légitime;0.983;N/A;765;1
MAIL-5557;2025-09-22;phishing;phishing;0.807;Fausse livraison colis;232;6
MAIL-5558;2025-09-28;légitime;légitime;0.92;N/A;100;0
MAIL-5559;2025-09-01;légitime;légitime;0.798;N/A;306;1
MAIL-5560;2025-09-11;phishing;phishing;0.914;Fausse facture;376;5
MAIL-5561;2025-09-21;phishing;phishing;0.804;Phishing RH/paie;372;2
MAIL-5562;2025-09-28;légitime;légitime;0.887;N/A;622;0
MAIL-5563;2025-09-11;légitime;légitime;0.972;N/A;547;2
MAIL-5564;2025-09-16;légitime;légitime;0.947;N/A;1152;1
MAIL-5565;2025-09-06;légitime;légitime;0.973;N/A;685;1
MAIL-5566;2025-09-07;légitime;légitime;0.841;N/A;480;1
MAIL-5567;2025-09-21;phishing;phishing;0.91;Phishing RH/paie;185;6
MAIL-5568;2025-09-27;légitime;légitime;0.881;N/A;265;1
MAIL-5569;2025-09-14;légitime;légitime;0.814;N/A;952;1
MAIL-5570;2025-09-24;phishing;phishing;0.802;Fausse facture;337;5
MAIL-5571;2025-09-30;légitime;légitime;0.801;N/A;415;1
MAIL-5572;2025-09-14;légitime;légitime;0.904;N/A;945;2
MAIL-5573;2025-09-01;phishing;phishing;0.989;Fausse livraison colis;1135;4
MAIL-5574;2025-09-21;phishing;phishing;0.985;Fausse livraison colis;366;0
MAIL-5575;2025-09-05;légitime;légitime;0.912;N/A;845;1
MAIL-5576;2025-09-20;phishing;phishing;0.98;Fausse facture;986;3
MAIL-5577;2025-09-09;phishing;phishing;0.847;Phishing RH/paie;1190;4
MAIL-5578;2025-09-27;phishing;phishing;0.87;Faux support technique;259;0
MAIL-5579;2025-09-15;légitime;légitime;0.882;N/A;895;2
MAIL-5580;2025-09-04;légitime;légitime;0.792;N/A;679;0
MAIL-5581;2025-09-15;légitime;légitime;0.939;N/A;311;1
MAIL-5582;2025-09-11;légitime;légitime;0.784;N/A;525;0
MAIL-5583;2025-09-24;phishing;phishing;0.865;Faux support technique;389;1
MAIL-5584;2025-09-24;phishing;phishing;0.854;Phishing RH/paie;873;0
MAIL-5585;2025-09-06;phishing;phishing;0.932;Usurpation fournisseur;1116;6
MAIL-5586;2025-09-16;phishing;phishing;0.964;Usurpation bancaire;962;1
MAIL-5587;2025-09-11;phishing;phishing;0.864;Fausse facture;785;3
MAIL-5588;2025-09-01;phishing;phishing;0.97;Faux support technique;468;3
MAIL-5589;2025-09-08;légitime;légitime;0.974;N/A;757;1
MAIL-5590;2025-09-16;phishing;phishing;0.887;Fausse livraison colis;1033;6
MAIL-5591;2025-09-20;légitime;légitime;0.881;N/A;774;0
MAIL-5592;2025-09-23;légitime;légitime;0.983;N/A;607;0
MAIL-5593;2025-09-30;légitime;légitime;0.969;N/A;789;2
MAIL-5594;2025-09-13;phishing;phishing;0.922;Faux support technique;416;3
MAIL-5595;2025-09-21;phishing;phishing;0.817;Phishing RH/paie;222;5
MAIL-5596;2025-09-17;légitime;légitime;0.877;N/A;221;0
MAIL-5597;2025-09-21;légitime;légitime;0.841;N/A;475;1
MAIL-5598;2025-09-02;légitime;légitime;0.978;N/A;743;2
MAIL-5599;2025-09-08;légitime;légitime;0.811;N/A;529;0
MAIL-5600;2025-09-03;légitime;légitime;0.954;N/A;992;0
MAIL-5601;2025-09-17;légitime;légitime;0.828;N/A;1005;2
MAIL-5602;2025-09-03;phishing;phishing;0.92;Usurpation bancaire;1177;4
MAIL-5603;2025-09-23;légitime;légitime;0.837;N/A;301;0
MAIL-5604;2025-09-06;phishing;phishing;0.88;Fausse livraison colis;452;5
MAIL-5605;2025-09-06;légitime;légitime;0.879;N/A;1010;1
MAIL-5606;2025-09-08;légitime;légitime;0.815;N/A;542;0
MAIL-5607;2025-09-30;phishing;phishing;0.912;Usurpation bancaire;590;3
MAIL-5608;2025-09-22;légitime;légitime;0.964;N/A;366;0
MAIL-5609;2025-09-01;phishing;phishing;0.868;Fausse facture;875;4
MAIL-5610;2025-09-15;légitime;légitime;0.925;N/A;863;0
MAIL-5611;2025-09-26;légitime;légitime;0.929;N/A;156;0
MAIL-5612;2025-09-20;phishing;phishing;0.983;Faux support technique;1023;5
MAIL-5613;2025-09-30;phishing;phishing;0.801;Faux support technique;210;3
MAIL-5614;2025-09-10;légitime;légitime;0.845;N/A;1046;0
MAIL-5615;2025-09-20;phishing;phishing;0.961;Usurpation bancaire;710;1
MAIL-5616;2025-09-22;légitime;légitime;0.852;N/A;984;0
MAIL-5617;2025-09-13;phishing;phishing;0.978;Fausse livraison colis;1065;1
MAIL-5618;2025-09-15;phishing;phishing;0.817;Faux support technique;824;4
MAIL-5619;2025-09-24;légitime;légitime;0.938;N/A;885;0
MAIL-5620;2025-09-08;légitime;légitime;0.941;N/A;875;0
MAIL-5621;2025-09-23;légitime;légitime;0.968;N/A;409;2
MAIL-5622;2025-09-10;légitime;légitime;0.913;N/A;480;2
MAIL-5623;2025-09-19;légitime;légitime;0.865;N/A;325;1
MAIL-5624;2025-09-21;phishing;phishing;0.972;Fausse facture;623;6
MAIL-5625;2025-09-03;phishing;phishing;0.838;Phishing RH/paie;539;4
MAIL-5626;2025-09-21;phishing;phishing;0.965;Usurpation fournisseur;630;1
MAIL-5627;2025-09-22;phishing;phishing;0.864;Usurpation bancaire;401;6
MAIL-5628;2025-09-12;phishing;phishing;0.826;Phishing RH/paie;801;1
MAIL-5629;2025-09-08;phishing;phishing;0.972;Usurpation fournisseur;326;4
MAIL-5630;2025-09-18;légitime;légitime;0.868;N/A;832;2
MAIL-5631;2025-09-19;légitime;légitime;0.889;N/A;719;1
MAIL-5632;2025-09-28;légitime;légitime;0.813;N/A;861;0
MAIL-5633;2025-09-12;légitime;légitime;0.87;N/A;89;1
MAIL-5634;2025-09-08;légitime;légitime;0.911;N/A;341;0
MAIL-5635;2025-09-30;phishing;phishing;0.921;Fausse livraison colis;494;2
MAIL-5636;2025-09-13;phishing;phishing;0.818;Usurpation bancaire;995;6
MAIL-5637;2025-09-02;phishing;phishing;0.917;Fausse facture;1068;4
MAIL-5638;2025-09-28;légitime;légitime;0.843;N/A;123;1
MAIL-5639;2025-09-22;phishing;phishing;0.832;Phishing RH/paie;760;2
MAIL-5640;2025-09-16;phishing;légitime;0.636;Usurpation fournisseur;533;4
MAIL-5641;2025-09-22;légitime;légitime;0.929;N/A;816;1
MAIL-5642;2025-09-21;phishing;phishing;0.901;Usurpation bancaire;155;2
MAIL-5643;2025-09-22;phishing;phishing;0.955;Phishing RH/paie;348;0
MAIL-5644;2025-09-25;légitime;légitime;0.838;N/A;749;0
MAIL-5645;2025-09-19;phishing;phishing;0.972;Fausse livraison colis;307;3
MAIL-5646;2025-09-07;légitime;légitime;0.919;N/A;246;0
MAIL-5647;2025-09-16;phishing;phishing;0.84;Usurpation bancaire;658;6
MAIL-5648;2025-09-22;légitime;phishing;0.586;N/A;1102;0
MAIL-5649;2025-09-27;légitime;légitime;0.918;N/A;311;2
MAIL-5650;2025-09-14;légitime;légitime;0.918;N/A;591;0
MAIL-5651;2025-09-29;légitime;légitime;0.966;N/A;403;2
MAIL-5652;2025-09-06;légitime;légitime;0.963;N/A;468;1
MAIL-5653;2025-09-22;légitime;légitime;0.945;N/A;179;1
MAIL-5654;2025-09-28;phishing;phishing;0.915;Fausse facture;317;6
MAIL-5655;2025-09-24;phishing;phishing;0.97;Usurpation bancaire;983;5
MAIL-5656;2025-09-08;légitime;légitime;0.798;N/A;945;1
MAIL-5657;2025-09-09;phishing;phishing;0.92;Usurpation bancaire;276;0
MAIL-5658;2025-09-01;légitime;légitime;0.982;N/A;282;1
MAIL-5659;2025-09-06;phishing;phishing;0.851;Usurpation bancaire;1006;4
MAIL-5660;2025-09-04;légitime;légitime;0.983;N/A;954;1
MAIL-5661;2025-09-28;phishing;phishing;0.814;Usurpation bancaire;997;4
MAIL-5662;2025-09-16;légitime;légitime;0.972;N/A;170;1
MAIL-5663;2025-09-29;légitime;phishing;0.771;N/A;176;1
MAIL-5664;2025-09-04;phishing;phishing;0.919;Faux support technique;498;2
MAIL-5665;2025-09-23;légitime;légitime;0.972;N/A;835;2
MAIL-5666;2025-09-02;phishing;phishing;0.969;Fausse livraison colis;322;2
MAIL-5667;2025-09-06;légitime;légitime;0.798;N/A;96;1
MAIL-5668;2025-09-14;légitime;légitime;0.964;N/A;477;2
MAIL-5669;2025-09-11;légitime;légitime;0.839;N/A;1056;1
MAIL-5670;2025-09-14;légitime;légitime;0.923;N/A;582;2
MAIL-5671;2025-09-03;légitime;légitime;0.923;N/A;1075;2
MAIL-5672;2025-09-28;légitime;légitime;0.938;N/A;179;2
MAIL-5673;2025-09-03;phishing;phishing;0.902;Fausse facture;1136;6
MAIL-5674;2025-09-14;phishing;phishing;0.856;Usurpation fournisseur;425;3
MAIL-5675;2025-09-25;phishing;phishing;0.838;Usurpation fournisseur;1008;5
MAIL-5676;2025-09-08;légitime;légitime;0.834;N/A;1194;2
MAIL-5677;2025-09-23;phishing;phishing;0.927;Usurpation fournisseur;156;4
MAIL-5678;2025-09-21;phishing;phishing;0.858;Phishing RH/paie;970;1
MAIL-5679;2025-09-21;légitime;légitime;0.929;N/A;995;0
MAIL-5680;2025-09-26;phishing;phishing;0.983;Phishing RH/paie;322;5
MAIL-5681;2025-09-12;légitime;légitime;0.922;N/A;522;1
MAIL-5682;2025-09-26;légitime;légitime;0.83;N/A;1110;1
MAIL-5683;2025-09-08;phishing;phishing;0.937;Phishing RH/paie;751;4
MAIL-5684;2025-09-14;légitime;légitime;0.984;N/A;766;1
MAIL-5685;2025-09-22;légitime;légitime;0.796;N/A;997;1
MAIL-5686;2025-09-02;légitime;légitime;0.854;N/A;396;1
MAIL-5687;2025-09-13;phishing;phishing;0.953;Phishing RH/paie;228;5
MAIL-5688;2025-09-12;légitime;légitime;0.944;N/A;199;2
MAIL-5689;2025-09-10;phishing;phishing;0.988;Fausse livraison colis;486;1
MAIL-5690;2025-09-22;légitime;légitime;0.895;N/A;422;1
MAIL-5691;2025-09-24;phishing;phishing;0.887;Usurpation fournisseur;996;6
MAIL-5692;2025-09-12;légitime;légitime;0.91;N/A;210;1
MAIL-5693;2025-09-07;légitime;légitime;0.882;N/A;666;1
MAIL-5694;2025-09-25;phishing;phishing;0.822;Fausse facture;727;2
MAIL-5695;2025-09-19;légitime;légitime;0.962;N/A;714;2
MAIL-5696;2025-09-22;légitime;légitime;0.918;N/A;277;2
MAIL-5697;2025-09-04;légitime;légitime;0.903;N/A;817;2
MAIL-5698;2025-09-07;légitime;légitime;0.901;N/A;970;1
MAIL-5699;2025-09-06;légitime;légitime;0.871;N/A;930;2
MAIL-5700;2025-09-28;phishing;phishing;0.928;Usurpation fournisseur;453;1
MAIL-5701;2025-09-19;légitime;phishing;0.596;N/A;1147;0
MAIL-5702;2025-09-25;phishing;phishing;0.9;Fausse livraison colis;226;4
MAIL-5703;2025-09-01;légitime;légitime;0.783;N/A;852;2
MAIL-5704;2025-09-12;légitime;légitime;0.967;N/A;869;2
MAIL-5705;2025-09-15;légitime;légitime;0.872;N/A;612;0
MAIL-5706;2025-09-20;légitime;légitime;0.889;N/A;859;2
MAIL-5707;2025-09-16;phishing;phishing;0.829;Usurpation bancaire;635;2
MAIL-5708;2025-09-03;phishing;phishing;0.854;Phishing RH/paie;646;6
MAIL-5709;2025-09-13;phishing;phishing;0.947;Faux support technique;728;1
MAIL-5710;2025-09-06;légitime;légitime;0.934;N/A;998;2
MAIL-5711;2025-09-05;phishing;phishing;0.852;Fausse livraison colis;585;1
MAIL-5712;2025-09-07;phishing;phishing;0.978;Faux support technique;890;4
MAIL-5713;2025-09-20;phishing;phishing;0.942;Usurpation bancaire;1147;6
MAIL-5714;2025-09-05;légitime;légitime;0.95;N/A;375;1
MAIL-5715;2025-09-24;légitime;légitime;0.784;N/A;443;0
MAIL-5716;2025-09-18;phishing;phishing;0.891;Faux support technique;491;2
MAIL-5717;2025-09-03;phishing;phishing;0.895;Usurpation bancaire;895;4
MAIL-5718;2025-09-10;légitime;légitime;0.841;N/A;898;2
MAIL-5719;2025-09-17;phishing;phishing;0.916;Usurpation bancaire;520;2
MAIL-5720;2025-09-01;légitime;légitime;0.936;N/A;811;2
MAIL-5721;2025-09-24;légitime;légitime;0.792;N/A;441;0
MAIL-5722;2025-09-12;phishing;phishing;0.97;Phishing RH/paie;420;1
MAIL-5723;2025-09-04;légitime;légitime;0.957;N/A;557;0
MAIL-5724;2025-09-30;légitime;légitime;0.939;N/A;1047;2
MAIL-5725;2025-09-17;légitime;légitime;0.863;N/A;83;0
MAIL-5726;2025-09-29;légitime;légitime;0.947;N/A;82;1
MAIL-5727;2025-09-07;légitime;légitime;0.786;N/A;468;1
MAIL-5728;2025-09-20;phishing;phishing;0.897;Fausse facture;1076;0
MAIL-5729;2025-09-27;phishing;phishing;0.889;Usurpation fournisseur;197;2
MAIL-5730;2025-09-29;phishing;phishing;0.989;Faux support technique;867;2
MAIL-5731;2025-09-04;légitime;légitime;0.841;N/A;1043;2
MAIL-5732;2025-09-19;légitime;légitime;0.972;N/A;1004;1
MAIL-5733;2025-09-29;phishing;phishing;0.874;Usurpation bancaire;1044;2
MAIL-5734;2025-09-27;légitime;légitime;0.81;N/A;233;1
MAIL-5735;2025-09-15;phishing;phishing;0.8;Fausse livraison colis;316;1
MAIL-5736;2025-09-19;légitime;légitime;0.869;N/A;1080;1
MAIL-5737;2025-09-10;phishing;légitime;0.673;Phishing RH/paie;648;5
MAIL-5738;2025-09-14;légitime;légitime;0.852;N/A;787;1
MAIL-5739;2025-09-25;légitime;légitime;0.805;N/A;905;1
MAIL-5740;2025-09-11;légitime;légitime;0.987;N/A;729;1
MAIL-5741;2025-09-25;phishing;phishing;0.946;Usurpation fournisseur;592;1
MAIL-5742;2025-09-24;phishing;phishing;0.938;Usurpation bancaire;596;1
MAIL-5743;2025-09-10;phishing;phishing;0.875;Phishing RH/paie;204;5
